Rank,Language,Rating_Pct,Change_Pct,Status,Paradigm,Year_Created,Creator,Primary_Use,Typing
1,Python,21.81,1.85,↑,Multi-paradigm,1991,Guido van Rossum,"AI/ML, Data Science, Web",Dynamic
2,C,11.05,-5.41,↓,Procedural,1972,Dennis Ritchie,"Systems, Embedded, OS",Static
3,C++,8.55,-1.72,↓,Multi-paradigm,1985,Bjarne Stroustrup,"Systems, Games, HPC",Static
4,Java,8.12,-3.38,↓,Object-oriented,1995,James Gosling,"Enterprise, Android, Web",Static
5,C#,6.83,0.73,↑,Object-oriented,2000,Anders Hejlsberg,"Enterprise, Games, Web",Static
6,JavaScript,2.92,0.1,↑,Multi-paradigm,1995,Brendan Eich,"Web, Full-stack, Mobile",Dynamic
7,Visual Basic,2.85,0.31,↑,Object-oriented,1991,Microsoft,"Enterprise, Desktop",Static
8,R,2.19,0.8,↑,Functional,1993,R. Ihaka & R. Gentleman,"Statistics, Data Science",Dynamic
9,SQL,1.93,-0.18,↓,Declarative,1974,Donald Chamberlin,"Databases, Analytics",N/A
10,Delphi/Object Pascal,1.88,0.42,↑,Object-oriented,1995,Anders Hejlsberg,"Desktop, Enterprise",Static
11,Perl,1.67,0.9,↑,Multi-paradigm,1987,Larry Wall,"Text Processing, Scripting",Dynamic
12,Fortran,1.55,0.32,↑,Procedural,1957,John Backus,"Scientific, HPC",Static
13,PHP,1.48,-0.21,↓,Multi-paradigm,1995,Rasmus Lerdorf,Web Backend,Dynamic
14,Rust,1.43,0.38,↑,Multi-paradigm,2010,Graydon Hoare,"Systems, WebAssembly",Static
15,Go,1.38,-0.36,↓,Multi-paradigm,2009,Robert Griesemer,"Cloud, Microservices",Static
16,MATLAB,1.25,0.17,↑,Multi-paradigm,1984,Cleve Moler,"Engineering, Research",Dynamic
17,Scratch,1.18,0.12,↑,Visual,2002,MIT Media Lab,Education,N/A
18,Assembly,1.12,-0.22,↓,Imperative,1949,Various,"Embedded, OS Kernels",N/A
19,Kotlin,1.08,0.15,↑,Multi-paradigm,2011,JetBrains,"Android, Server-side",Static
20,TypeScript,1.05,0.21,↑,Multi-paradigm,2012,Anders Hejlsberg,"Web, Full-stack",Static
21,Swift,1.02,-0.08,↓,Multi-paradigm,2014,Apple Inc.,"iOS, macOS",Static
22,COBOL,0.76,-0.15,↓,Procedural,1959,Grace Hopper (team),"Banking, Government",Static
23,Classic Visual Basic,0.74,-0.05,↓,Object-oriented,1991,Microsoft,Legacy Desktop,Static
24,Prolog,0.72,0.1,↑,Logic,1972,Alain Colmerauer,"AI, NLP",Dynamic
25,Lua,0.68,0.04,↑,Multi-paradigm,1993,PUC-Rio team,"Games, Embedded",Dynamic
26,Ruby,0.65,-0.18,↓,Object-oriented,2005,Yukihiro Matsumoto,"Web, Scripting",Dynamic
27,Dart,0.62,0.09,↑,Object-oriented,2011,Google,Mobile (Flutter),Static
28,Scala,0.58,-0.06,↓,Multi-paradigm,2004,Martin Odersky,"Big Data, Backend",Static